seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff_ms,red_norm,ir_norm,red_corrected_norm,ir_corrected_norm,red_dc,ir_dc,red_ac,ir_ac,red_ac_dc_ratio,ir_ac_dc_ratio,red_ir_ratio,corrected_red_ir_ratio,ratio_of_ratios,red_corrected_roll_mean,red_corrected_roll_std,red_corrected_roll_min,red_corrected_roll_max,red_corrected_roll_range,red_corrected_roll_median,red_corrected_roll_rms,ir_corrected_roll_mean,ir_corrected_roll_std,ir_corrected_roll_min,ir_corrected_roll_max,ir_corrected_roll_range,ir_corrected_roll_median,ir_corrected_roll_rms,red_diff_1,ir_diff_1,red_diff_2,ir_diff_2,red_abs_diff,ir_abs_diff,red_outlier_flag,ir_outlier_flag,red_corrected_outlier_flag,ir_corrected_outlier_flag,signal_quality_score
1,135093,40603,100950,-10.78806342832994,-4.396234730692758,0.0,0.43547044129891754,0.9189931350114416,0.32890920262166157,0.4075286460508197,0.0,0.0,0.0,0.0,0.0,0.0,0.40220901436354634,2.4539325329951067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100
2,135113,40616,100938,2.142788596852313,-15.10566862684167,20.0,0.4462947543713572,0.9135011441647597,0.34808950115576315,0.4010826075573854,0.0,0.0,0.0,0.0,0.0,0.0,0.40238562285759577,-0.1418532770568483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-12.0,0.0,0.0,13.0,12.0,0,0,0,0,100
3,135133,40603,100945,-12.051503149987948,-7.542110206633485,20.0,0.43547044129891754,0.9167048054919908,0.3270351458314323,0.40563513472145263,0.0,0.0,0.0,0.0,0.0,0.0,0.40222893654960623,1.5978953926433392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,7.0,0.0,-5.0,13.0,7.0,0,0,0,0,100
4,135153,40612,100939,-0.7691659035321763,-14.245303360060204,20.0,0.44296419650291424,0.9139588100686499,0.34377020676384484,0.4016004638401606,0.0,0.0,0.0,0.0,0.0,0.0,0.40234200853981117,0.05399435056530278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-6.0,-4.0,1.0,9.0,6.0,0,0,0,0,100
5,135173,40621,100933,8.087457181992205,-20.55219023030498,20.0,0.4504579517069109,0.9112128146453089,0.3569072123110086,0.39780433082943706,0.0,0.0,0.0,0.0,0.0,0.0,0.40245509397322976,-0.3935082875044113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-6.0,18.0,-12.0,9.0,6.0,0,0,0,0,100
6,135193,40606,100932,-7.905470850113863,-20.737921795986853,20.0,0.4379683597002498,0.9107551487414187,0.33318494455225495,0.39769253847575703,0.0,0.0,0.0,0.0,0.0,0.0,0.4023104664526612,0.3812084416117197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-1.0,-6.0,-7.0,15.0,1.0,0,0,0,0,100
7,135213,40597,100920,-16.592344508449596,-32.69311072634576,20.0,0.43047460449625313,0.9052631578947369,0.3202997278804978,0.390496676510627,0.0,0.0,0.0,0.0,0.0,0.0,0.40226912405866033,0.5075180715391101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-12.0,-24.0,-13.0,9.0,12.0,0,0,0,0,100
8,135233,40599,100916,-16.334325071064363,-37.22748557144673,20.0,0.4321398834304746,0.9034324942791762,0.32068244742805835,0.38776742349140886,0.0,0.0,0.0,0.0,0.0,0.0,0.4023048872329462,0.438770570193779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,-7.0,-16.0,2.0,4.0,0,0,0,0,100
9,135253,40588,100905,-25.38853841628248,-47.1797950473888,20.0,0.42298084929225643,0.8983981693363844,0.3072523567724287,0.3817771003237611,0.0,0.0,0.0,0.0,0.0,0.0,0.4022397304395223,0.5381231179741555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-11.0,-9.0,-15.0,11.0,11.0,0,0,0,0,100
10,135276,40596,100902,-17.972481304628026,-49.652008655223504,23.0,0.42964196502914237,0.897025171624714,0.3182525746289527,0.38028906797446715,0.0,0.0,0.0,0.0,0.0,0.0,0.40233097460902656,0.3619688667466886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-3.0,-3.0,-14.0,8.0,3.0,0,0,0,0,100
11,135296,40577,100860,-36.07693190770778,-91.47686886617504,20.0,0.4138218151540383,0.8778032036613272,0.2913982910375301,0.3551145665473423,0.0,0.0,0.0,0.0,0.0,0.0,0.4023101328574261,0.394383108592032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-42.0,-11.0,-45.0,19.0,42.0,0,0,0,0,100
12,135316,40574,100846,-38.617089018479085,-105.54742244541316,20.0,0.4113238967527061,0.8713958810068649,0.2876304827281293,0.3466454606286518,0.0,0.0,0.0,0.0,0.0,0.0,0.402336235448109,0.3658742972946687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-14.0,-22.0,-56.0,3.0,14.0,0,0,0,0,100
13,135339,40575,100839,-37.74546329091838,-111.47599273908492,23.0,0.4121565362198168,0.8681922196796339,0.2889233628594663,0.3430770374333062,0.0,0.0,0.0,0.0,0.0,0.0,0.4023740814565793,0.3385972384140459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-2.0,-21.0,1.0,7.0,0,0,0,0,100
14,135349,40576,100847,-36.88873952489934,-102.58198732548696,10.0,0.41298917568692756,0.8718535469107551,0.2901941389507482,0.348430364398374,0.0,0.0,0.0,0.0,0.0,0.0,0.40235207790018546,0.3596025041692107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,8.0,0,0,0,0,100
15,135369,40558,100785,-53.58064584985831,-163.80219354667395,20.0,0.3980016652789342,0.8434782608695652,0.26543507854293574,0.3115817494571433,0.0,0.0,0.0,0.0,0.0,0.0,0.40242099518777597,0.3271057895484836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-62.0,-17.0,-54.0,18.0,62.0,0,0,0,0,100
16,135399,40558,100788,-51.30330384095476,-160.5006371523248,30.0,0.3980016652789342,0.8448512585812357,0.2688130539083607,0.31356896557076736,0.0,0.0,0.0,0.0,0.0,0.0,0.40240901694646186,0.3196454839756482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-18.0,-59.0,0.0,3.0,0,0,0,0,100
17,135409,40562,100759,-48.04163730469722,-188.575193785417,10.0,0.4013322231473772,0.8315789473684211,0.2736510752361337,0.2966708106824787,0.0,0.0,0.0,0.0,0.0,0.0,0.402564535177999,0.2547611716065085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-29.0,4.0,-26.0,4.0,29.0,0,0,0,0,100
